Subject,Course Code,Course Title,Description,Prerequisites,Offered,Keywords
Communications,C145,Introduction to Communications Practice,This course covers introduction to communications practice with emphasis on practical and theoretical aspects.,C136 - Introduction to Communications Systems,"Fall, Spring, Summer","Communications, Introduction, to, Communications, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C136 - Introduction to Communications Systems"
Communications,C154,Fundamentals of Communications Practice,This course covers fundamentals of communications practice with emphasis on practical and theoretical aspects.,C145 - Introduction to Communications Practice,"Spring, Summer","Communications, Fundamentals, of, Communications, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C145 - Introduction to Communications Practice"
Communications,C163,Introduction to Communications Development,This course covers introduction to communications development with emphasis on practical and theoretical aspects.,C154 - Fundamentals of Communications Practice,Summer,"Communications, Introduction, to, Communications, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C154 - Fundamentals of Communications Practice"
Communications,C172,Principles of Communications Applications,This course covers principles of communications applications with emphasis on practical and theoretical aspects.,C163 - Introduction to Communications Development,"Fall, Spring","Communications, Principles, of, Communications, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C163 - Introduction to Communications Development"
Communications,C181,Fundamentals of Communications Management,This course covers fundamentals of communications management with emphasis on practical and theoretical aspects.,C172 - Principles of Communications Applications,"Summer, Spring, Fall","Communications, Fundamentals, of, Communications, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C172 - Principles of Communications Applications"
Communications,C190,Introduction to Communications Applications,This course covers introduction to communications applications with emphasis on practical and theoretical aspects.,C181 - Fundamentals of Communications Management,Summer,"Communications, Introduction, to, Communications, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C181 - Fundamentals of Communications Management"
Communicative Sci Disorders,CSD100,Fundamentals of Communicative Sci Disorders Development,This course covers fundamentals of communicative sci disorders development with emphasis on practical and theoretical aspects.,None,"Spring, Summer","Communicative Sci Disorders, Fundamentals, of, Communicative, Sci, Disorders, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Communicative Sci Disorders,CSD109,Fundamentals of Communicative Sci Disorders Systems,This course covers fundamentals of communicative sci disorders systems with emphasis on practical and theoretical aspects.,CSD100 - Fundamentals of Communicative Sci Disorders Development,"Spring, Fall, Summer","Communicative Sci Disorders, Fundamentals, of, Communicative, Sci, Disorders, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CSD100 - Fundamentals of Communicative Sci Disorders Development"
Communicative Sci Disorders,CSD118,Principles of Communicative Sci Disorders Practice,This course covers principles of communicative sci disorders practice with emphasis on practical and theoretical aspects.,CSD109 - Fundamentals of Communicative Sci Disorders Systems,"Fall, Spring, Summer","Communicative Sci Disorders, Principles, of, Communicative, Sci, Disorders, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CSD109 - Fundamentals of Communicative Sci Disorders Systems"
Communicative Sci Disorders,CSD127,Principles of Communicative Sci Disorders Applications,This course covers principles of communicative sci disorders applications with emphasis on practical and theoretical aspects.,CSD118 - Principles of Communicative Sci Disorders Practice,"Summer, Fall","Communicative Sci Disorders, Principles, of, Communicative, Sci, Disorders, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CSD118 - Principles of Communicative Sci Disorders Practice"
Communicative Sci Disorders,CSD136,Introduction to Communicative Sci Disorders Practice,This course covers introduction to communicative sci disorders practice with emphasis on practical and theoretical aspects.,CSD127 - Principles of Communicative Sci Disorders Applications,Spring,"Communicative Sci Disorders, Introduction, to, Communicative, Sci, Disorders, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CSD127 - Principles of Communicative Sci Disorders Applications"
Communicative Sci Disorders,CSD145,Principles of Communicative Sci Disorders Development,This course covers principles of communicative sci disorders development with emphasis on practical and theoretical aspects.,CSD136 - Introduction to Communicative Sci Disorders Practice,"Fall, Spring","Communicative Sci Disorders, Principles, of, Communicative, Sci, Disorders, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CSD136 - Introduction to Communicative Sci Disorders Practice"
Communicative Sci Disorders,CSD154,Principles of Communicative Sci Disorders Applications,This course covers principles of communicative sci disorders applications with emphasis on practical and theoretical aspects.,CSD145 - Principles of Communicative Sci Disorders Development,Summer,"Communicative Sci Disorders, Principles, of, Communicative, Sci, Disorders, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CSD145 - Principles of Communicative Sci Disorders Development"
Communicative Sci Disorders,CSD163,Introduction to Communicative Sci Disorders Analysis,This course covers introduction to communicative sci disorders analysis with emphasis on practical and theoretical aspects.,CSD154 - Principles of Communicative Sci Disorders Applications,Spring,"Communicative Sci Disorders, Introduction, to, Communicative, Sci, Disorders, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CSD154 - Principles of Communicative Sci Disorders Applications"
Communicative Sci Disorders,CSD172,Fundamentals of Communicative Sci Disorders Management,This course covers fundamentals of communicative sci disorders management with emphasis on practical and theoretical aspects.,CSD163 - Introduction to Communicative Sci Disorders Analysis,"Spring, Fall, Summer","Communicative Sci Disorders, Fundamentals, of, Communicative, Sci, Disorders, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CSD163 - Introduction to Communicative Sci Disorders Analysis"
Communicative Sci Disorders,CSD181,Fundamentals of Communicative Sci Disorders Practice,This course covers fundamentals of communicative sci disorders practice with emphasis on practical and theoretical aspects.,CSD172 - Fundamentals of Communicative Sci Disorders Management,Fall,"Communicative Sci Disorders, Fundamentals, of, Communicative, Sci, Disorders, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CSD172 - Fundamentals of Communicative Sci Disorders Management"
Computer Sciences,CS100,Fundamentals of Computer Sciences Theory,This course covers fundamentals of computer sciences theory with emphasis on practical and theoretical aspects.,None,"Fall, Spring, Summer","Computer Sciences, Fundamentals, of, Computer, Sciences, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Computer Sciences,CS109,Principles of Computer Sciences Design,This course covers principles of computer sciences design with emphasis on practical and theoretical aspects.,CS100 - Fundamentals of Computer Sciences Theory,"Fall, Summer, Spring","Computer Sciences, Principles, of, Computer, Sciences, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CS100 - Fundamentals of Computer Sciences Theory"
Computer Sciences,CS118,Introduction to Computer Sciences Development,This course covers introduction to computer sciences development with emphasis on practical and theoretical aspects.,CS109 - Principles of Computer Sciences Design,"Fall, Spring","Computer Sciences, Introduction, to, Computer, Sciences, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CS109 - Principles of Computer Sciences Design"
Computer Sciences,CS127,Principles of Computer Sciences Theory,This course covers principles of computer sciences theory with emphasis on practical and theoretical aspects.,CS118 - Introduction to Computer Sciences Development,Summer,"Computer Sciences, Principles, of, Computer, Sciences, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CS118 - Introduction to Computer Sciences Development"
Computer Sciences,CS136,Fundamentals of Computer Sciences Practice,This course covers fundamentals of computer sciences practice with emphasis on practical and theoretical aspects.,CS127 - Principles of Computer Sciences Theory,"Spring, Fall, Summer","Computer Sciences, Fundamentals, of, Computer, Sciences, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CS127 - Principles of Computer Sciences Theory"
Computer Sciences,CS145,Introduction to Computer Sciences Systems,This course covers introduction to computer sciences systems with emphasis on practical and theoretical aspects.,CS136 - Fundamentals of Computer Sciences Practice,"Summer, Fall, Spring","Computer Sciences, Introduction, to, Computer, Sciences, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CS136 - Fundamentals of Computer Sciences Practice"
Computer Sciences,CS154,Principles of Computer Sciences Theory,This course covers principles of computer sciences theory with emphasis on practical and theoretical aspects.,CS145 - Introduction to Computer Sciences Systems,"Summer, Fall, Spring","Computer Sciences, Principles, of, Computer, Sciences, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CS145 - Introduction to Computer Sciences Systems"
Computer Sciences,CS163,Introduction to Computer Sciences Practice,This course covers introduction to computer sciences practice with emphasis on practical and theoretical aspects.,CS154 - Principles of Computer Sciences Theory,Summer,"Computer Sciences, Introduction, to, Computer, Sciences, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CS154 - Principles of Computer Sciences Theory"
Computer Sciences,CS172,Introduction to Computer Sciences Applications,This course covers introduction to computer sciences applications with emphasis on practical and theoretical aspects.,CS163 - Introduction to Computer Sciences Practice,"Summer, Fall, Spring","Computer Sciences, Introduction, to, Computer, Sciences, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CS163 - Introduction to Computer Sciences Practice"
Computer Sciences,CS181,Introduction to Computer Sciences Theory,This course covers introduction to computer sciences theory with emphasis on practical and theoretical aspects.,CS172 - Introduction to Computer Sciences Applications,Spring,"Computer Sciences, Introduction, to, Computer, Sciences, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CS172 - Introduction to Computer Sciences Applications"
Construction Management,CM100,Introduction to Construction Management Systems,This course covers introduction to construction management systems with emphasis on practical and theoretical aspects.,None,"Fall, Spring","Construction Management, Introduction, to, Construction, Management, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Construction Management,CM109,Principles of Construction Management Analysis,This course covers principles of construction management analysis with emphasis on practical and theoretical aspects.,CM100 - Introduction to Construction Management Systems,"Summer, Spring, Fall","Construction Management, Principles, of, Construction, Management, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CM100 - Introduction to Construction Management Systems"
Construction Management,CM118,Principles of Construction Management Development,This course covers principles of construction management development with emphasis on practical and theoretical aspects.,CM109 - Principles of Construction Management Analysis,"Fall, Spring, Summer","Construction Management, Principles, of, Construction, Management, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CM109 - Principles of Construction Management Analysis"
Construction Management,CM127,Introduction to Construction Management Design,This course covers introduction to construction management design with emphasis on practical and theoretical aspects.,CM118 - Principles of Construction Management Development,"Summer, Fall","Construction Management, Introduction, to, Construction, Management, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CM118 - Principles of Construction Management Development"
Construction Management,CM136,Principles of Construction Management Management,This course covers principles of construction management management with emphasis on practical and theoretical aspects.,CM127 - Introduction to Construction Management Design,"Fall, Summer","Construction Management, Principles, of, Construction, Management, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CM127 - Introduction to Construction Management Design"
Construction Management,CM145,Fundamentals of Construction Management Practice,This course covers fundamentals of construction management practice with emphasis on practical and theoretical aspects.,CM136 - Principles of Construction Management Management,"Spring, Summer","Construction Management, Fundamentals, of, Construction, Management, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CM136 - Principles of Construction Management Management"
Construction Management,CM154,Fundamentals of Construction Management Development,This course covers fundamentals of construction management development with emphasis on practical and theoretical aspects.,CM145 - Fundamentals of Construction Management Practice,"Fall, Spring","Construction Management, Fundamentals, of, Construction, Management, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CM145 - Fundamentals of Construction Management Practice"
Construction Management,CM163,Principles of Construction Management Applications,This course covers principles of construction management applications with emphasis on practical and theoretical aspects.,CM154 - Fundamentals of Construction Management Development,"Fall, Spring, Summer","Construction Management, Principles, of, Construction, Management, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CM154 - Fundamentals of Construction Management Development"
Counseling,C100,Fundamentals of Counseling Development,This course covers fundamentals of counseling development with emphasis on practical and theoretical aspects.,None,Fall,"Counseling, Fundamentals, of, Counseling, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Counseling,C109,Principles of Counseling Practice,This course covers principles of counseling practice with emphasis on practical and theoretical aspects.,C100 - Fundamentals of Counseling Development,"Summer, Fall","Counseling, Principles, of, Counseling, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C100 - Fundamentals of Counseling Development"
Counseling,C118,Introduction to Counseling Analysis,This course covers introduction to counseling analysis with emphasis on practical and theoretical aspects.,C109 - Principles of Counseling Practice,Fall,"Counseling, Introduction, to, Counseling, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C109 - Principles of Counseling Practice"
Counseling,C127,Introduction to Counseling Analysis,This course covers introduction to counseling analysis with emphasis on practical and theoretical aspects.,C118 - Introduction to Counseling Analysis,"Fall, Spring","Counseling, Introduction, to, Counseling, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C118 - Introduction to Counseling Analysis"
Counseling,C136,Fundamentals of Counseling Systems,This course covers fundamentals of counseling systems with emphasis on practical and theoretical aspects.,C127 - Introduction to Counseling Analysis,"Fall, Spring, Summer","Counseling, Fundamentals, of, Counseling, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C127 - Introduction to Counseling Analysis"
Counseling,C145,Fundamentals of Counseling Development,This course covers fundamentals of counseling development with emphasis on practical and theoretical aspects.,C136 - Fundamentals of Counseling Systems,"Summer, Spring, Fall","Counseling, Fundamentals, of, Counseling, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C136 - Fundamentals of Counseling Systems"
Counseling,C154,Introduction to Counseling Management,This course covers introduction to counseling management with emphasis on practical and theoretical aspects.,C145 - Fundamentals of Counseling Development,"Spring, Fall, Summer","Counseling, Introduction, to, Counseling, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C145 - Fundamentals of Counseling Development"
Counseling,C163,Principles of Counseling Management,This course covers principles of counseling management with emphasis on practical and theoretical aspects.,C154 - Introduction to Counseling Management,Spring,"Counseling, Principles, of, Counseling, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C154 - Introduction to Counseling Management"
Counseling,C172,Fundamentals of Counseling Theory,This course covers fundamentals of counseling theory with emphasis on practical and theoretical aspects.,C163 - Principles of Counseling Management,"Fall, Spring","Counseling, Fundamentals, of, Counseling, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C163 - Principles of Counseling Management"
Criminal Justice,CJ100,Fundamentals of Criminal Justice Analysis,This course covers fundamentals of criminal justice analysis with emphasis on practical and theoretical aspects.,None,"Spring, Fall","Criminal Justice, Fundamentals, of, Criminal, Justice, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Criminal Justice,CJ109,Principles of Criminal Justice Systems,This course covers principles of criminal justice systems with emphasis on practical and theoretical aspects.,CJ100 - Fundamentals of Criminal Justice Analysis,Summer,"Criminal Justice, Principles, of, Criminal, Justice, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CJ100 - Fundamentals of Criminal Justice Analysis"
Criminal Justice,CJ118,Fundamentals of Criminal Justice Management,This course covers fundamentals of criminal justice management with emphasis on practical and theoretical aspects.,CJ109 - Principles of Criminal Justice Systems,"Summer, Fall","Criminal Justice, Fundamentals, of, Criminal, Justice, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CJ109 - Principles of Criminal Justice Systems"
Criminal Justice,CJ127,Introduction to Criminal Justice Practice,This course covers introduction to criminal justice practice with emphasis on practical and theoretical aspects.,CJ118 - Fundamentals of Criminal Justice Management,"Summer, Fall","Criminal Justice, Introduction, to, Criminal, Justice, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CJ118 - Fundamentals of Criminal Justice Management"
Criminal Justice,CJ136,Introduction to Criminal Justice Practice,This course covers introduction to criminal justice practice with emphasis on practical and theoretical aspects.,CJ127 - Introduction to Criminal Justice Practice,"Spring, Summer, Fall","Criminal Justice, Introduction, to, Criminal, Justice, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CJ127 - Introduction to Criminal Justice Practice"
Criminal Justice,CJ145,Introduction to Criminal Justice Analysis,This course covers introduction to criminal justice analysis with emphasis on practical and theoretical aspects.,CJ136 - Introduction to Criminal Justice Practice,"Summer, Fall","Criminal Justice, Introduction, to, Criminal, Justice, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CJ136 - Introduction to Criminal Justice Practice"
Criminal Justice,CJ154,Principles of Criminal Justice Management,This course covers principles of criminal justice management with emphasis on practical and theoretical aspects.,CJ145 - Introduction to Criminal Justice Analysis,"Summer, Fall","Criminal Justice, Principles, of, Criminal, Justice, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CJ145 - Introduction to Criminal Justice Analysis"
Criminal Justice,CJ163,Introduction to Criminal Justice Management,This course covers introduction to criminal justice management with emphasis on practical and theoretical aspects.,CJ154 - Principles of Criminal Justice Management,"Spring, Summer, Fall","Criminal Justice, Introduction, to, Criminal, Justice, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CJ154 - Principles of Criminal Justice Management"
Criminal Justice,CJ172,Principles of Criminal Justice Practice,This course covers principles of criminal justice practice with emphasis on practical and theoretical aspects.,CJ163 - Introduction to Criminal Justice Management,"Fall, Summer, Spring","Criminal Justice, Principles, of, Criminal, Justice, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CJ163 - Introduction to Criminal Justice Management"
Criminal Justice,CJ181,Principles of Criminal Justice Practice,This course covers principles of criminal justice practice with emphasis on practical and theoretical aspects.,CJ172 - Principles of Criminal Justice Practice,"Summer, Fall, Spring","Criminal Justice, Principles, of, Criminal, Justice, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CJ172 - Principles of Criminal Justice Practice"
Criminal Justice,CJ190,Fundamentals of Criminal Justice Theory,This course covers fundamentals of criminal justice theory with emphasis on practical and theoretical aspects.,CJ181 - Principles of Criminal Justice Practice,"Spring, Summer, Fall","Criminal Justice, Fundamentals, of, Criminal, Justice, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CJ181 - Principles of Criminal Justice Practice"
Curriculum and Inst Mth Edu,CAIME100,Principles of Curriculum and Inst Mth Edu Development,This course covers principles of curriculum and inst mth edu development with emphasis on practical and theoretical aspects.,None,"Summer, Spring, Fall","Curriculum and Inst Mth Edu, Principles, of, Curriculum, and, Inst, Mth, Edu, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Curriculum and Inst Mth Edu,CAIME109,Principles of Curriculum and Inst Mth Edu Practice,This course covers principles of curriculum and inst mth edu practice with emphasis on practical and theoretical aspects.,CAIME100 - Principles of Curriculum and Inst Mth Edu Development,"Spring, Fall","Curriculum and Inst Mth Edu, Principles, of, Curriculum, and, Inst, Mth, Edu, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CAIME100 - Principles of Curriculum and Inst Mth Edu Development"
Curriculum and Inst Mth Edu,CAIME118,Introduction to Curriculum and Inst Mth Edu Analysis,This course covers introduction to curriculum and inst mth edu analysis with emphasis on practical and theoretical aspects.,CAIME109 - Principles of Curriculum and Inst Mth Edu Practice,"Spring, Fall","Curriculum and Inst Mth Edu, Introduction, to, Curriculum, and, Inst, Mth, Edu, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CAIME109 - Principles of Curriculum and Inst Mth Edu Practice"
Curriculum and Inst Mth Edu,CAIME127,Introduction to Curriculum and Inst Mth Edu Applications,This course covers introduction to curriculum and inst mth edu applications with emphasis on practical and theoretical aspects.,CAIME118 - Introduction to Curriculum and Inst Mth Edu Analysis,"Summer, Fall","Curriculum and Inst Mth Edu, Introduction, to, Curriculum, and, Inst, Mth, Edu, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CAIME118 - Introduction to Curriculum and Inst Mth Edu Analysis"
Curriculum and Inst Mth Edu,CAIME136,Fundamentals of Curriculum and Inst Mth Edu Analysis,This course covers fundamentals of curriculum and inst mth edu analysis with emphasis on practical and theoretical aspects.,CAIME127 - Introduction to Curriculum and Inst Mth Edu Applications,"Summer, Spring, Fall","Curriculum and Inst Mth Edu, Fundamentals, of, Curriculum, and, Inst, Mth, Edu, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CAIME127 - Introduction to Curriculum and Inst Mth Edu Applications"
Curriculum and Inst Mth Edu,CAIME145,Introduction to Curriculum and Inst Mth Edu Practice,This course covers introduction to curriculum and inst mth edu practice with emphasis on practical and theoretical aspects.,CAIME136 - Fundamentals of Curriculum and Inst Mth Edu Analysis,"Summer, Spring","Curriculum and Inst Mth Edu, Introduction, to, Curriculum, and, Inst, Mth, Edu, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CAIME136 - Fundamentals of Curriculum and Inst Mth Edu Analysis"
Curriculum and Inst Mth Edu,CAIME154,Fundamentals of Curriculum and Inst Mth Edu Analysis,This course covers fundamentals of curriculum and inst mth edu analysis with emphasis on practical and theoretical aspects.,CAIME145 - Introduction to Curriculum and Inst Mth Edu Practice,"Summer, Spring, Fall","Curriculum and Inst Mth Edu, Fundamentals, of, Curriculum, and, Inst, Mth, Edu, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CAIME145 - Introduction to Curriculum and Inst Mth Edu Practice"
Curriculum and Inst Mth Edu,CAIME163,Fundamentals of Curriculum and Inst Mth Edu Design,This course covers fundamentals of curriculum and inst mth edu design with emphasis on practical and theoretical aspects.,CAIME154 - Fundamentals of Curriculum and Inst Mth Edu Analysis,Fall,"Curriculum and Inst Mth Edu, Fundamentals, of, Curriculum, and, Inst, Mth, Edu, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CAIME154 - Fundamentals of Curriculum and Inst Mth Edu Analysis"
Curriculum and Inst Mth Edu,CAIME172,Principles of Curriculum and Inst Mth Edu Development,This course covers principles of curriculum and inst mth edu development with emphasis on practical and theoretical aspects.,CAIME163 - Fundamentals of Curriculum and Inst Mth Edu Design,"Summer, Fall","Curriculum and Inst Mth Edu, Principles, of, Curriculum, and, Inst, Mth, Edu, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CAIME163 - Fundamentals of Curriculum and Inst Mth Edu Design"
Curriculum and Instruction,CAI100,Fundamentals of Curriculum and Instruction Management,This course covers fundamentals of curriculum and instruction management with emphasis on practical and theoretical aspects.,None,"Fall, Summer","Curriculum and Instruction, Fundamentals, of, Curriculum, and, Instruction, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Curriculum and Instruction,CAI109,Principles of Curriculum and Instruction Development,This course covers principles of curriculum and instruction development with emphasis on practical and theoretical aspects.,CAI100 - Fundamentals of Curriculum and Instruction Management,"Spring, Fall, Summer","Curriculum and Instruction, Principles, of, Curriculum, and, Instruction, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CAI100 - Fundamentals of Curriculum and Instruction Management"
Curriculum and Instruction,CAI118,Introduction to Curriculum and Instruction Practice,This course covers introduction to curriculum and instruction practice with emphasis on practical and theoretical aspects.,CAI109 - Principles of Curriculum and Instruction Development,"Fall, Summer","Curriculum and Instruction, Introduction, to, Curriculum, and, Instruction, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CAI109 - Principles of Curriculum and Instruction Development"
Curriculum and Instruction,CAI127,Principles of Curriculum and Instruction Development,This course covers principles of curriculum and instruction development with emphasis on practical and theoretical aspects.,CAI118 - Introduction to Curriculum and Instruction Practice,"Fall, Spring","Curriculum and Instruction, Principles, of, Curriculum, and, Instruction, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CAI118 - Introduction to Curriculum and Instruction Practice"
Curriculum and Instruction,CAI136,Introduction to Curriculum and Instruction Development,This course covers introduction to curriculum and instruction development with emphasis on practical and theoretical aspects.,CAI127 - Principles of Curriculum and Instruction Development,"Spring, Fall","Curriculum and Instruction, Introduction, to, Curriculum, and, Instruction, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CAI127 - Principles of Curriculum and Instruction Development"
Curriculum and Instruction,CAI145,Principles of Curriculum and Instruction Analysis,This course covers principles of curriculum and instruction analysis with emphasis on practical and theoretical aspects.,CAI136 - Introduction to Curriculum and Instruction Development,"Spring, Fall","Curriculum and Instruction, Principles, of, Curriculum, and, Instruction, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CAI136 - Introduction to Curriculum and Instruction Development"
